staff_pick,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days
False,2,5,False,False,True,5878.89475,30
True,4,18,False,False,True,16000.0,30
False,5,18,False,True,True,14599.978799999999,30
False,4,22,False,False,True,30000.0,29
False,8,18,False,False,True,1984816.1600000001,59
False,9,15,False,False,True,20000.0,30
False,6,16,False,False,True,541734.7041,35
False,6,17,False,False,True,1500.0,30
True,7,10,False,False,True,20000.0,29
False,9,18,False,False,True,15000.0,25
False,4,15,False,False,False,1244.3645800000002,29
True,2,16,False,True,True,31658.99475,30
True,7,18,False,False,True,20000.0,32
False,5,20,False,False,True,5000.0,44
False,2,11,False,False,True,1850.0,23
False,8,19,False,False,True,3843.29505,29
False,9,20,False,False,True,29727.9888,30
False,2,17,False,False,True,267006.8873,60
False,4,6,False,False,True,2000.0,15
False,6,11,False,False,True,19372.054216,30
False,2,11,False,False,True,10327.2783,40
True,5,15,False,False,True,361.58156775000003,30
False,4,10,False,False,True,10000.0,30
False,6,21,False,False,True,7500.0,29
False,3,19,False,False,True,7500.0,30
False,4,12,False,False,True,3500.0,38
False,3,21,False,False,True,647.09255,30
True,4,22,False,False,True,14023.435000000001,30
False,7,19,False,False,True,1000.0,37
True,4,22,False,True,True,40000.0,41
False,5,24,False,False,True,19153.337399999997,59
False,7,14,False,False,True,10000.0,30
False,6,18,False,True,True,6954.003000000001,23
True,9,20,False,False,True,10000.0,22
False,8,18,False,False,True,5000.0,30
True,6,19,False,False,True,3500.0,21
True,8,21,False,False,True,10000.0,30
False,3,21,False,False,True,12113.2192,30
False,5,22,False,False,True,12000.0,27
False,5,22,False,False,True,10000.0,40
False,7,13,False,True,True,18974.71275,44
False,8,20,False,False,True,30000.0,30
False,4,21,False,False,True,10524.4989,17
True,2,21,False,False,True,28000.0,35
True,4,19,False,False,True,24000.0,59
False,7,22,False,False,True,3864.93843,32
False,7,19,False,False,False,15000.0,51
False,5,15,False,False,True,25000.0,29
False,3,18,False,False,True,6147.14576,50
False,6,18,False,False,True,1147.76975,30
True,8,20,False,False,True,3816.5462500000003,36
False,5,22,False,False,True,12339.0525,30
False,4,21,False,False,True,3000.0,30
False,6,18,False,False,True,3870.47664,40
False,8,24,False,False,True,25000.0,59
False,2,22,False,False,True,14923.4472851,29
False,3,18,False,False,True,3765.30123,59
True,6,15,False,False,True,10000.0,29
False,4,16,False,False,True,1751.497525,30
False,8,20,False,False,True,62487.737,25
False,5,22,False,False,True,6000.0,33
False,7,19,False,False,True,15000.0,30
False,1,11,False,False,True,2110.53282,44
False,7,22,False,False,False,6000.0,30
False,8,21,False,False,True,25000.0,21
False,8,20,False,False,True,8248.872000000001,45
False,3,23,False,False,False,27850.0,60
False,10,23,False,False,True,5000.0,30
False,4,18,False,False,True,3631.484147,30
False,1,24,False,False,True,1815490.5034999999,30
False,3,18,False,False,False,1823.6971199999998,50
False,7,17,False,False,True,2000.0,21
False,6,22,False,False,True,5000.0,10
False,1,12,False,False,False,8777.14608,44
True,7,20,False,False,True,20000.0,30
False,10,17,False,False,True,45000.0,31
True,2,19,False,False,True,100000.0,34
False,9,21,False,False,True,5000.0,29
True,4,17,False,True,True,30000.0,59
False,7,12,False,False,True,53798.852100000004,30
True,6,24,False,False,True,5000.0,30
False,6,18,False,False,True,12190.662,30
False,7,5,False,False,True,656.25714,41
False,7,10,False,False,False,100000.0,30
False,4,19,False,False,True,19974.033760000002,30
False,7,22,False,False,True,10000.0,60
False,4,23,False,False,True,1000.0,14
False,4,19,False,False,True,4524.03396,59
True,7,18,False,False,True,12553.635,32
False,6,24,False,False,True,9876.64072,59
False,3,18,False,False,False,5500.0,30
True,7,18,False,False,True,38447.145300000004,42
False,4,21,False,False,True,61583.484,33
False,5,19,False,False,True,30000.0,39
False,4,19,False,False,True,7465.1378,20
False,3,19,False,False,True,15000.0,45
False,2,11,False,False,True,2500.0,16
False,7,12,False,False,True,13000.0,28
False,4,18,False,False,True,7500.0,30
False,3,21,False,False,True,1000.0,29
False,3,15,False,False,True,12286.733,44
False,6,21,False,False,True,1300.0,21
False,3,17,False,True,True,65000.0,30
False,2,10,False,False,True,500.0,2
False,5,22,False,False,True,1783.04384,44
False,8,20,False,False,True,13098.023000000001,30
False,3,19,False,False,True,2200.0,36
False,8,6,False,False,True,15360.369599999998,29
False,9,17,False,False,True,9000.0,30
False,7,19,False,False,True,50000.0,30
False,8,18,False,False,True,35498.5896,40
False,6,22,False,False,True,50400.0,31
True,6,7,False,False,False,1200.0,30
False,8,21,False,True,True,14896.98,30
False,6,21,False,False,False,1000.0,60
False,5,19,False,False,True,10641.524300000001,29
False,6,8,False,False,True,10000.0,30
False,8,23,False,False,True,10599.9014,59
False,5,15,False,False,True,3000.0,30
False,8,12,False,False,True,4500.0,29
False,4,20,False,False,True,3970.15977,24
False,5,18,False,False,True,4500.0,21
False,9,20,False,False,True,13000.0,35
False,5,16,False,False,True,20000.0,35
False,4,20,False,False,True,400.0,29
False,6,19,False,False,True,45000.0,39
False,6,14,False,False,True,1100.0,15
False,9,7,False,False,True,1500.0,30
False,6,16,False,False,True,6000.0,35
False,8,22,False,False,True,13000.0,21
False,8,7,False,False,False,376.85222999999996,45
False,1,13,False,False,True,6000.0,28
False,3,20,False,False,True,23724.2576,30
